"TXNAME","GENEID"
"ENST00000464957","ENSG00000224051"
"ENST00000343938","ENSG00000224051"
"ENST00000488011","ENSG00000224051"
"ENST00000339381","ENSG00000169962"
"ENST00000435351","ENSG00000223663"
"ENST00000659048","ENSG00000224870"
"ENST00000448629","ENSG00000224870"
"ENST00000444362","ENSG00000224870"
"ENST00000418833","ENSG00000224870"
"ENST00000576232","ENSG00000224870"
"ENST00000570344","ENSG00000224870"
"ENST00000447725","ENSG00000224870"
"ENST00000572242","ENSG00000224870"
"ENST00000453521","ENSG00000224870"
"ENST00000607307","ENSG00000272455"
"ENST00000428932","ENSG00000225905"
"ENST00000378821","ENSG00000205116"
"ENST00000495558","ENSG00000179403"
"ENST00000338660","ENSG00000179403"
"ENST00000476993","ENSG00000179403"
"ENST00000471398","ENSG00000179403"
"ENST00000378785","ENSG00000215915"
"ENST00000475091","ENSG00000215915"
"ENST00000484537","ENSG00000215915"
"ENST00000308647","ENSG00000160072"
"ENST00000472194","ENSG00000160072"
"ENST00000378736","ENSG00000160072"
"ENST00000485748","ENSG00000160072"
"ENST00000474481","ENSG00000160072"
"ENST00000641974","ENSG00000284740"
"ENST00000641679","ENSG00000284740"
"ENST00000378756","ENSG00000197785"
"ENST00000378755","ENSG00000197785"
"ENST00000339113","ENSG00000197785"
"ENST00000536055","ENSG00000197785"
"ENST00000439513","ENSG00000197785"
"ENST00000429957","ENSG00000197785"
"ENST00000400830","ENSG00000197785"
"ENST00000647566","ENSG00000215014"
"ENST00000366221","ENSG00000215014"
"ENST00000658591","ENSG00000286989"
"ENST00000520777","ENSG00000197530"
"ENST00000355826","ENSG00000197530"
"ENST00000518681","ENSG00000197530"
"ENST00000505820","ENSG00000197530"
"ENST00000479659","ENSG00000197530"
"ENST00000489635","ENSG00000197530"
"ENST00000511502","ENSG00000197530"
"ENST00000477990","ENSG00000197530"
"ENST00000514363","ENSG00000197530"
"ENST00000487053","ENSG00000197530"
"ENST00000502470","ENSG00000197530"
"ENST00000378712","ENSG00000197530"
"ENST00000507082","ENSG00000197530"
"ENST00000463492","ENSG00000197530"
"ENST00000510793","ENSG00000197530"
"ENST00000504599","ENSG00000197530"
"ENST00000507229","ENSG00000197530"
"ENST00000503789","ENSG00000197530"
"ENST00000378708","ENSG00000197530"
"ENST00000506488","ENSG00000197530"
"ENST00000512004","ENSG00000197530"
"ENST00000508455","ENSG00000197530"
"ENST00000514234","ENSG00000197530"
"ENST00000467597","ENSG00000197530"
"ENST00000508148","ENSG00000197530"
"ENST00000486072","ENSG00000197530"
"ENST00000505370","ENSG00000197530"
"ENST00000473511","ENSG00000197530"
"ENST00000464570","ENSG00000197530"
"ENST00000483015","ENSG00000197530"
"ENST00000511910","ENSG00000197530"
"ENST00000470373","ENSG00000197530"
"ENST00000356026","ENSG00000189409"
"ENST00000472264","ENSG00000189409"
"ENST00000512731","ENSG00000189409"
"ENST00000378675","ENSG00000189409"
"ENST00000479814","ENSG00000189409"
"ENST00000435358","ENSG00000189409"
"ENST00000503792","ENSG00000189409"
"ENST00000489782","ENSG00000189409"
"ENST00000486400","ENSG00000189409"
"ENST00000490017","ENSG00000189409"
"ENST00000607013","ENSG00000272004"
"ENST00000596308","ENSG00000269737"
"ENST00000597891","ENSG00000269737"
"ENST00000234610","ENSG00000215914"
"ENST00000577672","ENSG00000227775"
"ENST00000417099","ENSG00000227775"
"ENST00000424604","ENSG00000227775"
"ENST00000418950","ENSG00000227775"
"ENST00000412228","ENSG00000231050"
"ENST00000378604","ENSG00000169885"
"ENST00000307786","ENSG00000169885"
"ENST00000482402","ENSG00000169885"
"ENST00000462293","ENSG00000169885"
"ENST00000638411","ENSG00000187730"
"ENST00000378585","ENSG00000187730"
"ENST00000639045","ENSG00000187730"
"ENST00000640067","ENSG00000187730"
"ENST00000638604","ENSG00000187730"
"ENST00000638771","ENSG00000187730"
"ENST00000639935","ENSG00000187730"
"ENST00000640949","ENSG00000187730"
"ENST00000640030","ENSG00000187730"
"ENST00000640423","ENSG00000187730"
"ENST00000639625","ENSG00000187730"
"ENST00000639777","ENSG00000187730"
"ENST00000640981","ENSG00000187730"
"ENST00000638763","ENSG00000187730"
"ENST00000639070","ENSG00000187730"
"ENST00000640892","ENSG00000187730"
"ENST00000640317","ENSG00000187730"
"ENST00000638804","ENSG00000187730"
"ENST00000640688","ENSG00000187730"
"ENST00000378567","ENSG00000067606"
"ENST00000468310","ENSG00000067606"
"ENST00000484419","ENSG00000067606"
"ENST00000503297","ENSG00000067606"
"ENST00000479566","ENSG00000067606"
"ENST00000466651","ENSG00000067606"
"ENST00000400921","ENSG00000067606"
"ENST00000495347","ENSG00000067606"
"ENST00000461106","ENSG00000067606"
"ENST00000461465","ENSG00000067606"
"ENST00000470596","ENSG00000067606"
"ENST00000496325","ENSG00000067606"
"ENST00000481140","ENSG00000067606"
"ENST00000482686","ENSG00000067606"
"ENST00000486681","ENSG00000067606"
"ENST00000470986","ENSG00000067606"
"ENST00000470511","ENSG00000067606"
"ENST00000471018","ENSG00000067606"
"ENST00000466352","ENSG00000067606"
"ENST00000497183","ENSG00000067606"
"ENST00000419838","ENSG00000067606"
"ENST00000479263","ENSG00000067606"
"ENST00000503672","ENSG00000067606"
"ENST00000478770","ENSG00000067606"
"ENST00000505322","ENSG00000067606"
"ENST00000472017","ENSG00000067606"
"ENST00000442483","ENSG00000234396"
"ENST00000378536","ENSG00000157933"
"ENST00000508416","ENSG00000157933"
"ENST00000478223","ENSG00000157933"
"ENST00000507179","ENSG00000157933"
"ENST00000659232","ENSG00000287356"
"ENST00000661319","ENSG00000287356"
"ENST00000378513","ENSG00000157916"
"ENST00000378518","ENSG00000157916"
"ENST00000605895","ENSG00000157916"
"ENST00000306256","ENSG00000157916"
"ENST00000493207","ENSG00000157916"
"ENST00000378512","ENSG00000157916"
"ENST00000443438","ENSG00000157916"
"ENST00000488353","ENSG00000157916"
"ENST00000462129","ENSG00000157916"
"ENST00000609981","ENSG00000149527"
"ENST00000449969","ENSG00000149527"
"ENST00000378486","ENSG00000149527"
"ENST00000419816","ENSG00000149527"
"ENST00000343889","ENSG00000149527"
"ENST00000278878","ENSG00000149527"
"ENST00000473964","ENSG00000149527"
"ENST00000462379","ENSG00000149527"
"ENST00000644246","ENSG00000272449"
"ENST00000606645","ENSG00000272449"
"ENST00000426449","ENSG00000157873"
"ENST00000434817","ENSG00000157873"
"ENST00000435221","ENSG00000157873"
"ENST00000451778","ENSG00000157873"
"ENST00000409119","ENSG00000157873"
"ENST00000355716","ENSG00000157873"
"ENST00000475523","ENSG00000157873"
"ENST00000442392","ENSG00000157873"
"ENST00000482074","ENSG00000157873"
"ENST00000496064","ENSG00000157873"
"ENST00000463471","ENSG00000157873"
"ENST00000466750","ENSG00000157873"
"ENST00000471768","ENSG00000157873"
"ENST00000463835","ENSG00000157873"
"ENST00000482602","ENSG00000157873"
"ENST00000480305","ENSG00000157873"
"ENST00000456687","ENSG00000225931"
"ENST00000424215","ENSG00000228037"
"ENST00000493183","ENSG00000157870"
"ENST00000474659","ENSG00000157870"
"ENST00000378425","ENSG00000157870"
"ENST00000444521","ENSG00000157870"
"ENST00000419916","ENSG00000157870"
"ENST00000378424","ENSG00000157870"
"ENST00000537325","ENSG00000157870"
"ENST00000378427","ENSG00000157870"
"ENST00000464043","ENSG00000157870"
"ENST00000465233","ENSG00000157870"
"ENST00000498083","ENSG00000157870"
"ENST00000481683","ENSG00000157870"
"ENST00000484099","ENSG00000157870"
"ENST00000477045","ENSG00000157870"
"ENST00000476686","ENSG00000157870"
"ENST00000427302","ENSG00000237058"
"ENST00000648684","ENSG00000285945"
"ENST00000638002","ENSG00000283259"
"ENST00000664694","ENSG00000287396"
"ENST00000378404","ENSG00000169717"
"ENST00000511072","ENSG00000142611"
"ENST00000607632","ENSG00000142611"
"ENST00000378391","ENSG00000142611"
"ENST00000270722","ENSG00000142611"
"ENST00000514189","ENSG00000142611"
"ENST00000635819","ENSG00000283572"
"ENST00000624175","ENSG00000279839"
"ENST00000512462","ENSG00000142611"
"ENST00000463591","ENSG00000142611"
"ENST00000509860","ENSG00000142611"
"ENST00000378389","ENSG00000142611"
"ENST00000606170","ENSG00000142611"
"ENST00000378378","ENSG00000130762"
"ENST00000378373","ENSG00000130762"
"ENST00000378371","ENSG00000130762"
"ENST00000445297","ENSG00000130762"
"ENST00000464620","ENSG00000130762"
"ENST00000418137","ENSG00000130762"
"ENST00000485984","ENSG00000130762"
"ENST00000606489","ENSG00000272088"
"ENST00000378344","ENSG00000158109"
"ENST00000344579","ENSG00000158109"
"ENST00000378295","ENSG00000078900"
"ENST00000604074","ENSG00000078900"
"ENST00000354437","ENSG00000078900"
"ENST00000346387","ENSG00000078900"
"ENST00000357733","ENSG00000078900"
"ENST00000603362","ENSG00000078900"
"ENST00000604479","ENSG00000078900"
"ENST00000378280","ENSG00000078900"
"ENST00000378285","ENSG00000078900"
"ENST00000378288","ENSG00000078900"
"ENST00000603364","ENSG00000078900"
"ENST00000604194","ENSG00000078900"
"ENST00000378290","ENSG00000078900"
"ENST00000604566","ENSG00000078900"
"ENST00000611447","ENSG00000276189"
"ENST00000636250","ENSG00000162592"
"ENST00000462521","ENSG00000162592"
"ENST00000294600","ENSG00000162592"
"ENST00000642557","ENSG00000235169"
"ENST00000561886","ENSG00000235169"
"ENST00000444870","ENSG00000235169"
"ENST00000452264","ENSG00000235169"
"ENST00000581512","ENSG00000266075"
"ENST00000607459","ENSG00000272153"
"ENST00000625756","ENSG00000169598"
"ENST00000338895","ENSG00000169598"
"ENST00000378209","ENSG00000169598"
"ENST00000491998","ENSG00000169598"
"ENST00000468793","ENSG00000169598"
"ENST00000339350","ENSG00000169598"
"ENST00000477548","ENSG00000169598"
"ENST00000378206","ENSG00000169598"
"ENST00000475969","ENSG00000169598"
"ENST00000341385","ENSG00000169598"
"ENST00000481945","ENSG00000169598"
"ENST00000461150","ENSG00000169598"
"ENST00000667408","ENSG00000236423"
"ENST00000413332","ENSG00000236423"
"ENST00000442673","ENSG00000236423"
"ENST00000439488","ENSG00000236423"
"ENST00000456897","ENSG00000233304"
"ENST00000635619","ENSG00000233304"
"ENST00000412674","ENSG00000233304"
"ENST00000664502","ENSG00000233304"
"ENST00000642026","ENSG00000284668"
"ENST00000641562","ENSG00000284668"
"ENST00000641078","ENSG00000284668"
"ENST00000635002","ENSG00000235054"
"ENST00000635312","ENSG00000235054"
"ENST00000669931","ENSG00000235054"
"ENST00000423197","ENSG00000235054"
"ENST00000665284","ENSG00000235054"
"ENST00000663417","ENSG00000235054"
"ENST00000670434","ENSG00000235054"
"ENST00000668086","ENSG00000235054"
"ENST00000633821","ENSG00000235054"
"ENST00000671656","ENSG00000235054"
"ENST00000659315","ENSG00000235054"
"ENST00000667352","ENSG00000235054"
"ENST00000635642","ENSG00000235054"
"ENST00000634256","ENSG00000232596"
"ENST00000667354","ENSG00000232596"
"ENST00000666685","ENSG00000232596"
"ENST00000635556","ENSG00000232596"
"ENST00000659083","ENSG00000232596"
"ENST00000659059","ENSG00000232596"
"ENST00000661628","ENSG00000232596"
"ENST00000420522","ENSG00000232596"
"ENST00000378190","ENSG00000196581"
"ENST00000378191","ENSG00000196581"
"ENST00000466761","ENSG00000196581"
"ENST00000641403","ENSG00000284674"
"ENST00000564261","ENSG00000260972"
"ENST00000637697","ENSG00000283356"
"ENST00000579887","ENSG00000264341"
"ENST00000655548","ENSG00000069424"
"ENST00000378111","ENSG00000069424"
"ENST00000378097","ENSG00000069424"
"ENST00000666163","ENSG00000069424"
"ENST00000671676","ENSG00000069424"
"ENST00000658691","ENSG00000069424"
"ENST00000658883","ENSG00000069424"
"ENST00000655748","ENSG00000069424"
"ENST00000435937","ENSG00000069424"
"ENST00000493807","ENSG00000069424"
"ENST00000445501","ENSG00000069424"
"ENST00000478098","ENSG00000069424"
"ENST00000668706","ENSG00000069424"
"ENST00000653262","ENSG00000069424"
"ENST00000389632","ENSG00000069424"
"ENST00000657222","ENSG00000069424"
"ENST00000654144","ENSG00000069424"
"ENST00000341524","ENSG00000069424"
"ENST00000462676","ENSG00000069424"
"ENST00000428161","ENSG00000069424"
"ENST00000352527","ENSG00000069424"
"ENST00000663169","ENSG00000069424"
"ENST00000653635","ENSG00000069424"
"ENST00000661248","ENSG00000069424"
"ENST00000656198","ENSG00000069424"
"ENST00000602612","ENSG00000069424"
"ENST00000481789","ENSG00000069424"
"ENST00000656746","ENSG00000069424"
"ENST00000666299","ENSG00000069424"
"ENST00000665338","ENSG00000069424"
"ENST00000652845","ENSG00000069424"
"ENST00000655703","ENSG00000069424"
"ENST00000669250","ENSG00000069424"
"ENST00000164247","ENSG00000069424"
"ENST00000668559","ENSG00000069424"
"ENST00000378092","ENSG00000069424"
"ENST00000472700","ENSG00000069424"
"ENST00000459822","ENSG00000069424"
"ENST00000378083","ENSG00000069424"
"ENST00000662147","ENSG00000069424"
"ENST00000458166","ENSG00000069424"
"ENST00000662363","ENSG00000069424"
"ENST00000663671","ENSG00000069424"
"ENST00000656607","ENSG00000069424"
"ENST00000663419","ENSG00000069424"
"ENST00000652911","ENSG00000069424"
"ENST00000662815","ENSG00000069424"
"ENST00000671076","ENSG00000069424"
"ENST00000466994","ENSG00000158286"
"ENST00000377939","ENSG00000158286"
"ENST00000484435","ENSG00000158286"
"ENST00000485539","ENSG00000158286"
"ENST00000496676","ENSG00000158286"
"ENST00000463453","ENSG00000158286"
"ENST00000496329","ENSG00000158286"
"ENST00000492476","ENSG00000158286"
"ENST00000483336","ENSG00000158286"
"ENST00000650463","ENSG00000225077"
"ENST00000441724","ENSG00000225077"
"ENST00000429480","ENSG00000225077"
"ENST00000377898","ENSG00000173673"
"ENST00000607670","ENSG00000271746"
"ENST00000645284","ENSG00000187017"
"ENST00000636330","ENSG00000187017"
"ENST00000633651","ENSG00000187017"
"ENST00000632142","ENSG00000187017"
"ENST00000418286","ENSG00000187017"
"ENST00000632803","ENSG00000187017"
"ENST00000632593","ENSG00000187017"
"ENST00000416731","ENSG00000187017"
"ENST00000461727","ENSG00000187017"
"ENST00000475228","ENSG00000187017"
"ENST00000478323","ENSG00000187017"
"ENST00000633239","ENSG00000187017"
"ENST00000475479","ENSG00000187017"
"ENST00000636644","ENSG00000187017"
"ENST00000434576","ENSG00000187017"
"ENST00000477679","ENSG00000187017"
"ENST00000468561","ENSG00000187017"
"ENST00000517213","ENSG00000253022"
"ENST00000456162","ENSG00000229519"
"ENST00000333172","ENSG00000173662"
"ENST00000351136","ENSG00000173662"
"ENST00000411823","ENSG00000173662"
"ENST00000415267","ENSG00000173662"
"ENST00000377674","ENSG00000204859"
"ENST00000319084","ENSG00000204859"
"ENST00000435905","ENSG00000204859"
"ENST00000488936","ENSG00000204859"
"ENST00000482360","ENSG00000204859"
"ENST00000498342","ENSG00000204859"
"ENST00000466813","ENSG00000204859"
"ENST00000466941","ENSG00000204859"
"ENST00000377648","ENSG00000116273"
"ENST00000495385","ENSG00000116273"
"ENST00000054650","ENSG00000041988"
"ENST00000484676","ENSG00000041988"
"ENST00000307896","ENSG00000041988"
"ENST00000377627","ENSG00000041988"
"ENST00000484669","ENSG00000041988"
"ENST00000487819","ENSG00000041988"
"ENST00000472925","ENSG00000041988"
"ENST00000480647","ENSG00000041988"
"ENST00000432429","ENSG00000228750"
"ENST00000414210","ENSG00000228750"
"ENST00000421469","ENSG00000228750"
"ENST00000635029","ENSG00000228750"
"ENST00000635092","ENSG00000228750"
"ENST00000654537","ENSG00000228750"
"ENST00000641757","ENSG00000284744"
"ENST00000490738","ENSG00000171735"
"ENST00000303635","ENSG00000171735"
"ENST00000476163","ENSG00000171735"
"ENST00000473578","ENSG00000171735"
"ENST00000557126","ENSG00000171735"
"ENST00000467404","ENSG00000171735"
"ENST00000461311","ENSG00000171735"
"ENST00000486138","ENSG00000171735"
"ENST00000482934","ENSG00000171735"
"ENST00000470648","ENSG00000171735"
"ENST00000461580","ENSG00000171735"
"ENST00000472283","ENSG00000171735"
"ENST00000467267","ENSG00000171735"
"ENST00000384328","ENSG00000207056"
"ENST00000427317","ENSG00000237402"
"ENST00000495233","ENSG00000171735"
"ENST00000490905","ENSG00000171735"
"ENST00000476864","ENSG00000171735"
"ENST00000054666","ENSG00000049245"
"ENST00000470357","ENSG00000049245"
"ENST00000602406","ENSG00000269925"
"ENST00000487194","ENSG00000049245"
"ENST00000377541","ENSG00000049246"
"ENST00000613533","ENSG00000049246"
"ENST00000614998","ENSG00000049246"
"ENST00000377532","ENSG00000049246"
"ENST00000361923","ENSG00000049246"
"ENST00000473653","ENSG00000049246"
"ENST00000602883","ENSG00000049246"
"ENST00000463106","ENSG00000049246"
"ENST00000494684","ENSG00000049246"
"ENST00000603760","ENSG00000270330"
"ENST00000493373","ENSG00000116288"
"ENST00000460192","ENSG00000116288"
"ENST00000493678","ENSG00000116288"
"ENST00000377493","ENSG00000116288"
"ENST00000338639","ENSG00000116288"
"ENST00000465354","ENSG00000116288"
"ENST00000377491","ENSG00000116288"
"ENST00000377488","ENSG00000116288"
"ENST00000497113","ENSG00000116288"
"ENST00000469225","ENSG00000116288"
"ENST00000641354","ENSG00000284747"
"ENST00000642135","ENSG00000284747"
"ENST00000445300","ENSG00000238290"
"ENST00000453364","ENSG00000229305"
"ENST00000670361","ENSG00000227634"
"ENST00000635451","ENSG00000227634"
"ENST00000452982","ENSG00000227634"
"ENST00000471889","ENSG00000162426"
"ENST00000289877","ENSG00000162426"
"ENST00000516445","ENSG00000252254"
"ENST00000497660","ENSG00000162426"
"ENST00000481265","ENSG00000162426"
"ENST00000449895","ENSG00000232912"
"ENST00000653698","ENSG00000232912"
"ENST00000444276","ENSG00000232912"
"ENST00000605785","ENSG00000270282"
"ENST00000437586","ENSG00000234619"
"ENST00000445254","ENSG00000226545"
"ENST00000436229","ENSG00000229716"
"ENST00000442636","ENSG00000230679"
"ENST00000425872","ENSG00000238249"
"ENST00000431968","ENSG00000232663"
"ENST00000549778","ENSG00000131686"
"ENST00000476083","ENSG00000131686"
"ENST00000377443","ENSG00000131686"
"ENST00000480186","ENSG00000131686"
"ENST00000377436","ENSG00000131686"
"ENST00000377442","ENSG00000131686"
"ENST00000516595","ENSG00000252404"
"ENST00000635271","ENSG00000234546"
"ENST00000412639","ENSG00000234546"
"ENST00000664915","ENSG00000234546"
"ENST00000657715","ENSG00000234546"
"ENST00000665148","ENSG00000234546"
"ENST00000634966","ENSG00000234546"
"ENST00000377403","ENSG00000049239"
"ENST00000602477","ENSG00000049239"
"ENST00000495451","ENSG00000049239"
"ENST00000328089","ENSG00000171621"
"ENST00000450402","ENSG00000171621"
"ENST00000357898","ENSG00000171621"
"ENST00000377399","ENSG00000171621"
"ENST00000302692","ENSG00000171612"
"ENST00000435277","ENSG00000231181"
"ENST00000340381","ENSG00000188807"
"ENST00000340305","ENSG00000188807"
"ENST00000416541","ENSG00000188807"
"ENST00000510900","ENSG00000188807"
"ENST00000508400","ENSG00000188807"
"ENST00000536656","ENSG00000171608"
"ENST00000628140","ENSG00000171608"
"ENST00000377346","ENSG00000171608"
"ENST00000484851","ENSG00000171608"
"ENST00000543390","ENSG00000171608"
"ENST00000361110","ENSG00000171608"
"ENST00000481137","ENSG00000171608"
"ENST00000479223","ENSG00000171608"
"ENST00000603781","ENSG00000271264"
"ENST00000454104","ENSG00000223989"
"ENST00000648956","ENSG00000285701"
"ENST00000445884","ENSG00000228150"
"ENST00000403197","ENSG00000173614"
"ENST00000462686","ENSG00000173614"
"ENST00000377205","ENSG00000173614"
"ENST00000492735","ENSG00000173614"
"ENST00000365545","ENSG00000202415"
"ENST00000578045","ENSG00000265521"
"ENST00000496751","ENSG00000173614"
"ENST00000413148","ENSG00000241326"
"ENST00000315901","ENSG00000162444"
"ENST00000294435","ENSG00000162444"
"ENST00000253251","ENSG00000130939"
"ENST00000343090","ENSG00000130939"
"ENST00000377153","ENSG00000130939"
"ENST00000416729","ENSG00000233623"
"ENST00000462658","ENSG00000130939"
"ENST00000475795","ENSG00000130939"
"ENST00000470736","ENSG00000130939"
"ENST00000466379","ENSG00000130939"
"ENST00000488228","ENSG00000130939"
"ENST00000364876","ENSG00000201746"
"ENST00000487244","ENSG00000130939"
"ENST00000465408","ENSG00000130939"
"ENST00000377093","ENSG00000054523"
"ENST00000263934","ENSG00000054523"
"ENST00000377086","ENSG00000054523"
"ENST00000577266","ENSG00000264881"
"ENST00000377083","ENSG00000054523"
"ENST00000377081","ENSG00000054523"
"ENST00000620295","ENSG00000054523"
"ENST00000622724","ENSG00000054523"
"ENST00000495136","ENSG00000054523"
"ENST00000497835","ENSG00000054523"
"ENST00000362692","ENSG00000199562"
"ENST00000584329","ENSG00000264501"
"ENST00000465635","ENSG00000054523"
"ENST00000483340","ENSG00000054523"
"ENST00000635499","ENSG00000054523"
"ENST00000470616","ENSG00000054523"
"ENST00000641011","ENSG00000284642"
"ENST00000641335","ENSG00000284642"
"ENST00000641456","ENSG00000284642"
"ENST00000641062","ENSG00000284642"
"ENST00000491493","ENSG00000142657"
"ENST00000487775","ENSG00000142657"
"ENST00000270776","ENSG00000142657"
"ENST00000477958","ENSG00000142657"
