gene_id	GeneSymbol	Chromosome	Strand	Class
Mp	Mp	dm6_chr3L:6998843-7052555	+	
Mp	Mp	dm6_chr3L:6998843-7052555	+	
Mp	Mp	dm6_chr3L:6998843-7052555	+	
Mp	Mp	dm6_chr3L:6998843-7053499	+	
Mp	Mp	dm6_chr3L:6998843-7053499	+	
bin	bin	dm6_chr3L:6990622-6994447	+	
CG43439	CG43439	dm6_chr3L:6983473-6984586	-	
CG32388	CG32388	dm6_chr3L:6983473-6984586	-	
lncRNA:CR46000	lncRNA:CR46000	dm6_chr3L:6981212-6981703	-	
lncRNA:CR32385	lncRNA:CR32385	dm6_chr3L:6976322-6979222	+	
Galphai	Galphai	dm6_chr3L:6972750-6980044	-	
CG10063	CG10063	dm6_chr3L:6971579-6972467	-	
CG9953	CG9953	dm6_chr3L:6969658-6971666	+	
Mis12	Mis12	dm6_chr3L:6968035-6969048	-	
CG10064	CG10064	dm6_chr3L:6965260-6967897	-	
sgl	sgl	dm6_chr3L:6959554-6964758	-	
Surf1	Surf1	dm6_chr3L:6958346-6959586	+	
CG10075	CG10075	dm6_chr3L:6956946-6958108	-	
CG9948	CG9948	dm6_chr3L:6956151-6956998	+	
CG9948	CG9948	dm6_chr3L:6956094-6956998	+	
CG9948	CG9948	dm6_chr3L:6955991-6957440	+	
CG10077	CG10077	dm6_chr3L:6951804-6955904	-	
CG10077	CG10077	dm6_chr3L:6949491-6955512	-	
CG10077	CG10077	dm6_chr3L:6949491-6955904	-	
tow	tow	dm6_chr3L:6944681-6948662	+	
tow	tow	dm6_chr3L:6942856-6948662	+	
tow	tow	dm6_chr3L:6942856-6949313	+	
tow	tow	dm6_chr3L:6942856-6949313	+	
tow	tow	dm6_chr3L:6942856-6949313	+	
lncRNA:CR45412	lncRNA:CR45412	dm6_chr3L:6939049-6939702	-	
lncRNA:CR45414	lncRNA:CR45414	dm6_chr3L:6936567-6937405	+	
lncRNA:CR45415	lncRNA:CR45415	dm6_chr3L:6935608-6935903	-	
CG14820	CG14820	dm6_chr3L:6932926-6934824	+	
CG45413	CG45413	dm6_chr3L:6931201-6931950	-	
CG45413	CG45413	dm6_chr3L:6931023-6931950	-	
Prat2	Prat2	dm6_chr3L:6911999-6913964	-	
Prat2	Prat2	dm6_chr3L:6911999-6914876	-	
lncRNA:CR45416	lncRNA:CR45416	dm6_chr3L:6883321-6883601	-	
lncRNA:CR45115	lncRNA:CR45115	dm6_chr3L:6865449-6866439	-	
lncRNA:CR45115	lncRNA:CR45115	dm6_chr3L:6865449-6866439	-	
vvl	vvl	dm6_chr3L:6790158-6794537	+	
vvl	vvl	dm6_chr3L:6790158-6794537	+	
vvl	vvl	dm6_chr3L:6790158-6794537	+	
vvl	vvl	dm6_chr3L:6790158-6794537	+	
vvl	vvl	dm6_chr3L:6790158-6794941	+	
lncRNA:CR45759	lncRNA:CR45759	dm6_chr3L:6786660-6787105	-	
Rsph3	Rsph3	dm6_chr3L:6756629-6761114	-	
Rsph3	Rsph3	dm6_chr3L:6756629-6763246	-	
Ist1	Ist1	dm6_chr3L:6754813-6756497	-	
Ist1	Ist1	dm6_chr3L:6754017-6756497	-	
Ist1	Ist1	dm6_chr3L:6754017-6756497	-	
Ist1	Ist1	dm6_chr3L:6754017-6756497	-	
Ist1	Ist1	dm6_chr3L:6754017-6756497	-	
Ist1	Ist1	dm6_chr3L:6754017-6756497	-	
CG8549	CG8549	dm6_chr3L:6753068-6754029	+	
CG8549	CG8549	dm6_chr3L:6752913-6754029	+	
velo	velo	dm6_chr3L:6744426-6747255	-	
velo	velo	dm6_chr3L:6744426-6747456	-	
velo	velo	dm6_chr3L:6744426-6752752	-	
velo	velo	dm6_chr3L:6744426-6752752	-	
dikar	dikar	dm6_chr3L:6740305-6742743	-	
dikar	dikar	dm6_chr3L:6738528-6743164	-	
dikar	dikar	dm6_chr3L:6730162-6743164	-	
dikar	dikar	dm6_chr3L:6730162-6743164	-	
dikar	dikar	dm6_chr3L:6728800-6743164	-	
dikar	dikar	dm6_chr3L:6728800-6743164	-	
lncRNA:CR45417	lncRNA:CR45417	dm6_chr3L:6728201-6728701	+	
lncRNA:CR44523	lncRNA:CR44523	dm6_chr3L:6724902-6725279	-	
ple	ple	dm6_chr3L:6714038-6719525	-	
ple	ple	dm6_chr3L:6714038-6719525	-	
ple	ple	dm6_chr3L:6713356-6719525	-	
CG8519	CG8519	dm6_chr3L:6707585-6709000	+	
CG8519	CG8519	dm6_chr3L:6704860-6709000	+	
SP1173	SP1173	dm6_chr3L:6689699-6703521	-	
SP1173	SP1173	dm6_chr3L:6689327-6692654	-	
SP1173	SP1173	dm6_chr3L:6689327-6703521	-	
SP1173	SP1173	dm6_chr3L:6689327-6703521	-	
CG32395	CG32395	dm6_chr3L:6666638-6667816	-	
lncRNA:CR45173	lncRNA:CR45173	dm6_chr3L:6666003-6666611	-	
eIF4E4	eIF4E4	dm6_chr3L:6664224-6665641	-	
lncRNA:CR45239	lncRNA:CR45239	dm6_chr3L:6642250-6642842	+	
lncRNA:CR45238	lncRNA:CR45238	dm6_chr3L:6640891-6641514	+	
GluRIA	GluRIA	dm6_chr3L:6624032-6635059	+	
axed	axed	dm6_chr3L:6613672-6618180	+	
axed	axed	dm6_chr3L:6613564-6618180	+	
axed	axed	dm6_chr3L:6609577-6618180	+	
axed	axed	dm6_chr3L:6609325-6619113	+	
axed	axed	dm6_chr3L:6609325-6619113	+	
lncRNA:CR45418	lncRNA:CR45418	dm6_chr3L:6608770-6609238	-	
zpg	zpg	dm6_chr3L:6604450-6606032	-	
zpg	zpg	dm6_chr3L:6604366-6606032	-	
Rexo5	Rexo5	dm6_chr3L:6606179-6608739	+	
Rexo5	Rexo5	dm6_chr3L:6603684-6608739	+	
ndl	ndl	dm6_chr3L:6593938-6603366	-	
jv	jv	dm6_chr3L:6563197-6589479	-	
jv	jv	dm6_chr3L:6563197-6589479	-	
jv	jv	dm6_chr3L:6563197-6589479	-	
MCU	MCU	dm6_chr3L:6550739-6592149	+	
MCU	MCU	dm6_chr3L:6550739-6592149	+	
MCU	MCU	dm6_chr3L:6550739-6592149	+	
MCU	MCU	dm6_chr3L:6550739-6592149	+	
MCU	MCU	dm6_chr3L:6550739-6592149	+	
MCU	MCU	dm6_chr3L:6550739-6593940	+	
MCU	MCU	dm6_chr3L:6550738-6592149	+	
MCU	MCU	dm6_chr3L:6550738-6592149	+	
CG32396	CG32396	dm6_chr3L:6530729-6532429	+	
lncRNA:CR45979	lncRNA:CR45979	dm6_chr3L:6505569-6506393	+	
sfl	sfl	dm6_chr3L:6495680-6550104	+	
sfl	sfl	dm6_chr3L:6495680-6550104	+	
Vps8	Vps8	dm6_chr3L:6491230-6495297	-	
CG8270	CG8270	dm6_chr3L:6488681-6491210	+	
CG10147	CG10147	dm6_chr3L:6486597-6488424	-	
CG10147	CG10147	dm6_chr3L:6486167-6488424	-	
CG42747	CG42747	dm6_chr3L:6400590-6485964	+	
lncRNA:CR45980	lncRNA:CR45980	dm6_chr3L:6376706-6377197	-	
lncRNA:CR45419	lncRNA:CR45419	dm6_chr3L:6369973-6370591	-	
Sfp65A	Sfp65A	dm6_chr3L:6350276-6350829	+	
CG13300	CG13300	dm6_chr3L:6329324-6352390	-	
Or65c	Or65c	dm6_chr3L:6327608-6329069	+	
Or65b	Or65b	dm6_chr3L:6325612-6327049	+	
Or65a	Or65a	dm6_chr3L:6320611-6322098	+	
lncRNA:CR45113	lncRNA:CR45113	dm6_chr3L:6305671-6306164	+	
lncRNA:CR45114	lncRNA:CR45114	dm6_chr3L:6304760-6305503	-	
lncRNA:CR45420	lncRNA:CR45420	dm6_chr3L:6302747-6303361	-	
CG43168	CG43168	dm6_chr3L:6275787-6277035	+	
lncRNA:CR44522	lncRNA:CR44522	dm6_chr3L:6263008-6263399	-	
Ldh	Ldh	dm6_chr3L:6259492-6261040	-	
Ldh	Ldh	dm6_chr3L:6259492-6261160	-	
Ldh	Ldh	dm6_chr3L:6259492-6262694	-	
Ldh	Ldh	dm6_chr3L:6259105-6262694	-	
CG10163	CG10163	dm6_chr3L:6257423-6258760	-	
Best2	Best2	dm6_chr3L:6245933-6256665	-	
Mdr65	Mdr65	dm6_chr3L:6240500-6245746	-	
CG10226	CG10226	dm6_chr3L:6234323-6238991	-	
CG10226	CG10226	dm6_chr3L:6234323-6240068	-	
CG42714	CG42714	dm6_chr3L:6233491-6234056	-	
BG642312	BG642312	dm6_chr3L:6232469-6233381	-	
BG642312	BG642312	dm6_chr3L:6232469-6233381	-	
CG13299	CG13299	dm6_chr3L:6231805-6232361	-	
CG33946	CG33946	dm6_chr3L:6220578-6220949	+	
LanA	LanA	dm6_chr3L:6203831-6218022	-	
CG8219	CG8219	dm6_chr3L:6200473-6203776	+	
Tnpo	Tnpo	dm6_chr3L:6193746-6199596	+	
Tnpo	Tnpo	dm6_chr3L:6193480-6199596	+	
Tnpo	Tnpo	dm6_chr3L:6193480-6200385	+	
Tnpo	Tnpo	dm6_chr3L:6193480-6200385	+	
Sf3b6	Sf3b6	dm6_chr3L:6192124-6193179	-	
CG7386	CG7386	dm6_chr3L:6189745-6192049	+	
D19A	D19A	dm6_chr3L:6185830-6189123	-	
CG43293	CG43293	dm6_chr3L:6185330-6185853	+	
CG43293	CG43293	dm6_chr3L:6185189-6185853	+	
D19B	D19B	dm6_chr3L:6182176-6184920	-	
CG10274	CG10274	dm6_chr3L:6178677-6181829	-	
CG7376	CG7376	dm6_chr3L:6174248-6178773	+	
CG7376	CG7376	dm6_chr3L:6174248-6178941	+	
fmt	fmt	dm6_chr3L:6169569-6173880	-	
fmt	fmt	dm6_chr3L:6169569-6173880	-	
fmt	fmt	dm6_chr3L:6167313-6173880	-	
fmt	fmt	dm6_chr3L:6164916-6173880	-	
Prdm13	Prdm13	dm6_chr3L:6163127-6164682	+	
lncRNA:CR45744	lncRNA:CR45744	dm6_chr3L:6162695-6163102	-	
Cpr65Az	Cpr65Az	dm6_chr3L:6160814-6161589	+	
Cpr65Ay	Cpr65Ay	dm6_chr3L:6158075-6158630	-	
CG13297	CG13297	dm6_chr3L:6156592-6157377	-	
lncRNA:CR45421	lncRNA:CR45421	dm6_chr3L:6154714-6155203	-	
Acp65Aa	Acp65Aa	dm6_chr3L:6152050-6152745	-	
Lcp65Aa	Lcp65Aa	dm6_chr3L:6151304-6151803	+	
Cpr65Ax2	Cpr65Ax2	dm6_chr3L:6150402-6150857	-	
Cpr65Ax2	Cpr65Ax2	dm6_chr3L:6150058-6150857	-	
Lcp65Ab1	Lcp65Ab1	dm6_chr3L:6149548-6149960	+	
Lcp65APsi	Lcp65APsi	dm6_chr3L:6148353-6148615	+	
Cpr65Ax1	Cpr65Ax1	dm6_chr3L:6147531-6147987	-	
Lcp65Ab2	Lcp65Ab2	dm6_chr3L:6146674-6147089	+	
Lcp65Ac	Lcp65Ac	dm6_chr3L:6144819-6145393	+	
Lcp65Ad	Lcp65Ad	dm6_chr3L:6143395-6144006	+	
Lcp65Ad	Lcp65Ad	dm6_chr3L:6143395-6144101	+	
Cpr65Aw	Cpr65Aw	dm6_chr3L:6141903-6142413	-	
Cpr65Aw	Cpr65Aw	dm6_chr3L:6141903-6142413	-	
Cpr65Av	Cpr65Av	dm6_chr3L:6139223-6139974	-	
Lcp65Ae	Lcp65Ae	dm6_chr3L:6137583-6138118	-	
Lcp65Af	Lcp65Af	dm6_chr3L:6136215-6136791	-	
Lcp65Ag1	Lcp65Ag1	dm6_chr3L:6134697-6135274	-	
Lcp65Ag2	Lcp65Ag2	dm6_chr3L:6132990-6133593	-	
Cpr65Au	Cpr65Au	dm6_chr3L:6131315-6132109	-	
Cpr65Au	Cpr65Au	dm6_chr3L:6131242-6132109	-	
Lcp65Ag3	Lcp65Ag3	dm6_chr3L:6130386-6130989	-	
asRNA:CR46005	asRNA:CR46005	dm6_chr3L:6127379-6132074	+	
asRNA:CR46005	asRNA:CR46005	dm6_chr3L:6125398-6126098	+	
asRNA:CR46005	asRNA:CR46005	dm6_chr3L:6125398-6127279	+	
asRNA:CR46005	asRNA:CR46005	dm6_chr3L:6125398-6129890	+	
asRNA:CR46005	asRNA:CR46005	dm6_chr3L:6125398-6129890	+	
asRNA:CR46005	asRNA:CR46005	dm6_chr3L:6125398-6132074	+	
l(3)mbn	l(3)mbn	dm6_chr3L:6123934-6128807	-	
l(3)mbn	l(3)mbn	dm6_chr3L:6123934-6128807	-	
l(3)mbn	l(3)mbn	dm6_chr3L:6123934-6128807	-	
lncRNA:CR46001	lncRNA:CR46001	dm6_chr3L:6104850-6105198	-	
Ets65A	Ets65A	dm6_chr3L:6111467-6122862	+	
Ets65A	Ets65A	dm6_chr3L:6097617-6123913	+	
Ets65A	Ets65A	dm6_chr3L:6097617-6123913	+	
Ets65A	Ets65A	dm6_chr3L:6097617-6123913	+	
Ets65A	Ets65A	dm6_chr3L:6097617-6123913	+	
loj	loj	dm6_chr3L:6094987-6096517	+	
loj	loj	dm6_chr3L:6094987-6096517	+	
loj	loj	dm6_chr3L:6094987-6096517	+	
CG10467	CG10467	dm6_chr3L:6093204-6094747	-	
CG10469	CG10469	dm6_chr3L:6092188-6093313	-	
CG13293	CG13293	dm6_chr3L:6082883-6090264	+	
CG13293	CG13293	dm6_chr3L:6082883-6090264	+	
CG13293	CG13293	dm6_chr3L:6082883-6090264	+	
CG13293	CG13293	dm6_chr3L:6082883-6092188	+	
ssp6	ssp6	dm6_chr3L:6076722-6081533	+	
ssp6	ssp6	dm6_chr3L:6076722-6082491	+	
CG6610	CG6610	dm6_chr3L:6075536-6076093	+	
CG6610	CG6610	dm6_chr3L:6075536-6076258	+	
CG6610	CG6610	dm6_chr3L:6075536-6076258	+	
CG13295	CG13295	dm6_chr3L:6073490-6075245	-	
CG6602	CG6602	dm6_chr3L:6072139-6073539	+	
CG42269	CG42269	dm6_chr3L:6066296-6071545	+	
CG10472	CG10472	dm6_chr3L:6061372-6062910	-	
CG6592	CG6592	dm6_chr3L:6059658-6061378	+	
lncRNA:CR45441	lncRNA:CR45441	dm6_chr3L:6059041-6059448	+	
tant	tant	dm6_chr3L:6055136-6056839	+	
tant	tant	dm6_chr3L:6055136-6057002	+	
Jon65Ai	Jon65Ai	dm6_chr3L:6053584-6054443	-	
Jon65Ai	Jon65Ai	dm6_chr3L:6053493-6054443	-	
Jon65Aii	Jon65Aii	dm6_chr3L:6052321-6053215	+	
Jon65Aiii	Jon65Aiii	dm6_chr3L:6050757-6051690	+	
Jon65Aiv	Jon65Aiv	dm6_chr3L:6039155-6040135	+	
CG6462	CG6462	dm6_chr3L:6037111-6038188	+	
lncRNA:CR43952	lncRNA:CR43952	dm6_chr3L:6036490-6036915	+	
yip7	yip7	dm6_chr3L:6035216-6036175	+	
CG10477	CG10477	dm6_chr3L:6033521-6034611	-	
CG10477	CG10477	dm6_chr3L:6033199-6034611	-	
alphaKap4	alphaKap4	dm6_chr3L:6009446-6011021	-	
PVRAP	PVRAP	dm6_chr3L:5997208-6026317	+	
lncRNA:CR45440	lncRNA:CR45440	dm6_chr3L:5984120-5984340	-	
lncRNA:CR45439	lncRNA:CR45439	dm6_chr3L:5983670-5983870	-	
CG10479	CG10479	dm6_chr3L:5967545-5976007	-	
CG10479	CG10479	dm6_chr3L:5967545-5976007	-	
CG33993	CG33993	dm6_chr3L:5933365-5935303	-	
CG33993	CG33993	dm6_chr3L:5933036-5950658	-	
Rcc1	Rcc1	dm6_chr3L:5930262-5932612	-	
Rcc1	Rcc1	dm6_chr3L:5930262-5932612	-	
Rcc1	Rcc1	dm6_chr3L:5930262-5932773	-	
CG33523	CG33523	dm6_chr3L:5928416-5929902	+	
CG33523	CG33523	dm6_chr3L:5927782-5930120	+	
CG33523	CG33523	dm6_chr3L:5926871-5929902	+	
CG33523	CG33523	dm6_chr3L:5923862-5930120	+	
CG33523	CG33523	dm6_chr3L:5923862-5930120	+	
CG33523	CG33523	dm6_chr3L:5923862-5930120	+	
CG32407	CG32407	dm6_chr3L:5922476-5923567	+	
CG32407	CG32407	dm6_chr3L:5922055-5923567	+	
asRNA:CR45167	asRNA:CR45167	dm6_chr3L:5918389-5919556	+	
CG10483	CG10483	dm6_chr3L:5917905-5921316	-	
CG10483	CG10483	dm6_chr3L:5917905-5921316	-	
CG13288	CG13288	dm6_chr3L:5907381-5909895	+	
CG13288	CG13288	dm6_chr3L:5907381-5917540	+	
CG10486	CG10486	dm6_chr3L:5904211-5906699	-	
CG10486	CG10486	dm6_chr3L:5904211-5906699	-	
CG32413	CG32413	dm6_chr3L:5902887-5904055	-	
QC	QC	dm6_chr3L:5900835-5902456	-	
CG32409	CG32409	dm6_chr3L:5899528-5900936	+	
CG5592	CG5592	dm6_chr3L:5897638-5899395	+	
DNApol-epsilon58	DNApol-epsilon58	dm6_chr3L:5895691-5897435	-	
CG13287	CG13287	dm6_chr3L:5882304-5884090	+	
CG13287	CG13287	dm6_chr3L:5882304-5884090	+	
CG18586	CG18586	dm6_chr3L:5873532-5875457	+	
CG18586	CG18586	dm6_chr3L:5873311-5875466	+	
CG5568	CG5568	dm6_chr3L:5871501-5873518	+	
vn	vn	dm6_chr3L:5813691-5845664	-	
vn	vn	dm6_chr3L:5813338-5845664	-	
mad2	mad2	dm6_chr3L:5812135-5813093	-	
kri	kri	dm6_chr3L:5810973-5812228	+	
kri	kri	dm6_chr3L:5810973-5812228	+	
kri	kri	dm6_chr3L:5810973-5812228	+	
CG42272	CG42272	dm6_chr3L:5803664-5805749	+	
CG42272	CG42272	dm6_chr3L:5803033-5805749	+	
S6k	S6k	dm6_chr3L:5798948-5810931	-	
S6k	S6k	dm6_chr3L:5797549-5810931	-	
Tektin-C	Tektin-C	dm6_chr3L:5794405-5796401	-	
Tektin-C	Tektin-C	dm6_chr3L:5794405-5796543	-	
Tektin-C	Tektin-C	dm6_chr3L:5794405-5796543	-	
Bre1	Bre1	dm6_chr3L:5790192-5794192	-	
Bre1	Bre1	dm6_chr3L:5789831-5794192	-	
Cralbp	Cralbp	dm6_chr3L:5783215-5786718	-	
asRNA:CR45026	asRNA:CR45026	dm6_chr3L:5780102-5780863	-	
asRNA:CR45026	asRNA:CR45026	dm6_chr3L:5780102-5780863	-	
PGRP-LD	PGRP-LD	dm6_chr3L:5781537-5784685	+	
PGRP-LD	PGRP-LD	dm6_chr3L:5780264-5784685	+	
PGRP-LD	PGRP-LD	dm6_chr3L:5780051-5784685	+	
PGRP-LD	PGRP-LD	dm6_chr3L:5780051-5784685	+	
Pmi	Pmi	dm6_chr3L:5780051-5781406	+	
Pmi	Pmi	dm6_chr3L:5780051-5784685	+	
Pmi	Pmi	dm6_chr3L:5780051-5784685	+	
Pmi	Pmi	dm6_chr3L:5780051-5784685	+	
Myt1	Myt1	dm6_chr3L:5777476-5779591	-	
vito	vito	dm6_chr3L:5776324-5777333	-	
scny	scny	dm6_chr3L:5771220-5775845	+	
scny	scny	dm6_chr3L:5771220-5776271	+	
scny	scny	dm6_chr3L:5771165-5775845	+	
scny	scny	dm6_chr3L:5771165-5776271	+	
scny	scny	dm6_chr3L:5769123-5775845	+	
scny	scny	dm6_chr3L:5769123-5775845	+	
scny	scny	dm6_chr3L:5769002-5776271	+	
asRNA:CR45831	asRNA:CR45831	dm6_chr3L:5767321-5768704	+	
Ppat-Dpck	Ppat-Dpck	dm6_chr3L:5767017-5768794	-	
Txl	Txl	dm6_chr3L:5765846-5767084	+	
snmRNA:CR43603	snmRNA:CR43603	dm6_chr3L:5764861-5765046	-	
snoRNA:Psi28S-1837a	snoRNA:Psi28S-1837a	dm6_chr3L:5764258-5764394	-	
snoRNA:Psi28S-1837b	snoRNA:Psi28S-1837b	dm6_chr3L:5764113-5764249	-	
snoRNA:Psi28S-1837c	snoRNA:Psi28S-1837c	dm6_chr3L:5763946-5764084	-	
snoRNA:684	snoRNA:684	dm6_chr3L:5763345-5763422	-	
snoRNA:Psi18S-1397	snoRNA:Psi18S-1397	dm6_chr3L:5762860-5763000	-	
CG10576	CG10576	dm6_chr3L:5762027-5765501	-	
CG10576	CG10576	dm6_chr3L:5761963-5765591	-	
CG10576	CG10576	dm6_chr3L:5761963-5765702	-	
Usp47	Usp47	dm6_chr3L:5754178-5761419	+	
Usp47	Usp47	dm6_chr3L:5752973-5761886	+	
Usp47	Usp47	dm6_chr3L:5752973-5761886	+	
DnaJ-1	DnaJ-1	dm6_chr3L:5750029-5752189	-	
DnaJ-1	DnaJ-1	dm6_chr3L:5750029-5752189	-	
snoRNA:Me18S-A1494	snoRNA:Me18S-A1494	dm6_chr3L:5720290-5720421	+	
CG44521	CG44521	dm6_chr3L:5713331-5714029	+	
CG46320	CG46320	dm6_chr3L:5664861-5746400	+	
CG46320	CG46320	dm6_chr3L:5664121-5749599	+	
Sse	Sse	dm6_chr3L:5659700-5662247	-	
sif	sif	dm6_chr3L:5691427-5746400	+	
sif	sif	dm6_chr3L:5691427-5749599	+	
sif	sif	dm6_chr3L:5691427-5749599	+	
sif	sif	dm6_chr3L:5678540-5749599	+	
sif	sif	dm6_chr3L:5666849-5749599	+	
sif	sif	dm6_chr3L:5664861-5746400	+	
sif	sif	dm6_chr3L:5664861-5746400	+	
sif	sif	dm6_chr3L:5664861-5746400	+	
sif	sif	dm6_chr3L:5664861-5749599	+	
sif	sif	dm6_chr3L:5664121-5746400	+	
sif	sif	dm6_chr3L:5664121-5749599	+	
sif	sif	dm6_chr3L:5657913-5749599	+	
sif	sif	dm6_chr3L:5657913-5749599	+	
lin-28	lin-28	dm6_chr3L:5654681-5657384	+	
Blimp-1	Blimp-1	dm6_chr3L:5643647-5648936	+	
Blimp-1	Blimp-1	dm6_chr3L:5642003-5648936	+	
Blimp-1	Blimp-1	dm6_chr3L:5636015-5648936	+	
Blimp-1	Blimp-1	dm6_chr3L:5630983-5648936	+	
Blimp-1	Blimp-1	dm6_chr3L:5630983-5648936	+	
Blimp-1	Blimp-1	dm6_chr3L:5630983-5652094	+	
Eaf6	Eaf6	dm6_chr3L:5607162-5608300	-	
mthl2	mthl2	dm6_chr3L:5604790-5607190	+	
TM9SF3	TM9SF3	dm6_chr3L:5601096-5603979	-	
CG10591	CG10591	dm6_chr3L:5598557-5599692	-	
Alp9	Alp9	dm6_chr3L:5595542-5597337	+	
Alp9	Alp9	dm6_chr3L:5595542-5597422	+	
Alp10	Alp10	dm6_chr3L:5592741-5595272	-	
spo	spo	dm6_chr3L:5590083-5592269	-	
spo	spo	dm6_chr3L:5590083-5592571	-	
l(3)psg2	l(3)psg2	dm6_chr3L:5583669-5590390	+	
snmRNA:357	snmRNA:357	dm6_chr3L:5567885-5567961	-	
Msr-110	Msr-110	dm6_chr3L:5566919-5575146	-	
Msr-110	Msr-110	dm6_chr3L:5566919-5577348	-	
Msr-110	Msr-110	dm6_chr3L:5566919-5577348	-	
Msr-110	Msr-110	dm6_chr3L:5566919-5577348	-	
bc10	bc10	dm6_chr3L:5565231-5566765	+	
Sras	Sras	dm6_chr3L:5563774-5565103	+	
ScsbetaG	ScsbetaG	dm6_chr3L:5561783-5563691	-	
ScsbetaG	ScsbetaG	dm6_chr3L:5561701-5563691	-	
sinu	sinu	dm6_chr3L:5559470-5561598	-	
frm	frm	dm6_chr3L:5544802-5550930	-	
frm	frm	dm6_chr3L:5544802-5551159	-	
frm	frm	dm6_chr3L:5538632-5550930	-	
frm	frm	dm6_chr3L:5538632-5551159	-	
frm	frm	dm6_chr3L:5538632-5551159	-	
frm	frm	dm6_chr3L:5538632-5551159	-	
frm	frm	dm6_chr3L:5538632-5551159	-	
frm	frm	dm6_chr3L:5538632-5551159	-	
frm	frm	dm6_chr3L:5538411-5551154	-	
frm	frm	dm6_chr3L:5538411-5551159	-	
CG13285	CG13285	dm6_chr3L:5534737-5535759	-	
CG13285	CG13285	dm6_chr3L:5533968-5535759	-	
Lkr	Lkr	dm6_chr3L:5512421-5529341	-	
CG34342	CG34342	dm6_chr3L:5503528-5510860	-	
CG34342	CG34342	dm6_chr3L:5503528-5510860	-	
lncRNA:CR44519	lncRNA:CR44519	dm6_chr3L:5501102-5501469	-	
lncRNA:CR44518	lncRNA:CR44518	dm6_chr3L:5499594-5500088	+	
blanks	blanks	dm6_chr3L:5497523-5498958	-	
lncRNA:CR44520	lncRNA:CR44520	dm6_chr3L:5493415-5494740	-	
CG4835	CG4835	dm6_chr3L:5479790-5483663	+	
DIP-delta	DIP-delta	dm6_chr3L:5436159-5439803	+	
DIP-delta	DIP-delta	dm6_chr3L:5424109-5439803	+	
DIP-delta	DIP-delta	dm6_chr3L:5424109-5442399	+	
Ir64a	Ir64a	dm6_chr3L:5378786-5382821	-	
lncRNA:CR45743	lncRNA:CR45743	dm6_chr3L:5377814-5378407	+	
lncRNA:CR44516	lncRNA:CR44516	dm6_chr3L:5371247-5371636	-	
lncRNA:CR44515	lncRNA:CR44515	dm6_chr3L:5369550-5370148	+	
lncRNA:CR44515	lncRNA:CR44515	dm6_chr3L:5369550-5370312	+	
lncRNA:CR44515	lncRNA:CR44515	dm6_chr3L:5369365-5370148	+	
Pfdn4	Pfdn4	dm6_chr3L:5367341-5368008	-	
Membrin	Membrin	dm6_chr3L:5366455-5367381	+	
Uev1A	Uev1A	dm6_chr3L:5363186-5366225	-	
Uev1A	Uev1A	dm6_chr3L:5363150-5366182	-	
Uev1A	Uev1A	dm6_chr3L:5362884-5365561	-	
Cyt-c1	Cyt-c1	dm6_chr3L:5360211-5362422	+	
Cyt-c1	Cyt-c1	dm6_chr3L:5360211-5362798	+	
Klp64D	Klp64D	dm6_chr3L:5356864-5359392	-	
tRNA:Val-TAC-1-2	tRNA:Val-TAC-1-2	dm6_chr3L:5356662-5356734	-	
tRNA:Val-TAC-1-1	tRNA:Val-TAC-1-1	dm6_chr3L:5356343-5356415	+	
CG46456	CG46456	dm6_chr3L:5343619-5355346	-	
lama	lama	dm6_chr3L:5343619-5351479	-	
lama	lama	dm6_chr3L:5343619-5355346	-	
lama	lama	dm6_chr3L:5343619-5355346	-	
lama	lama	dm6_chr3L:5343619-5355923	-	
tRNA:Ser-AGA-2-5	tRNA:Ser-AGA-2-5	dm6_chr3L:5342084-5342165	+	
lncRNA:CR45742	lncRNA:CR45742	dm6_chr3L:5334846-5335103	+	
lncRNA:CR45741	lncRNA:CR45741	dm6_chr3L:5316213-5316451	-	
CG4669	CG4669	dm6_chr3L:5234483-5236631	+	
shep	shep	dm6_chr3L:5160686-5184797	-	
shep	shep	dm6_chr3L:5160686-5201412	-	
shep	shep	dm6_chr3L:5160686-5273334	-	
shep	shep	dm6_chr3L:5160686-5277944	-	
shep	shep	dm6_chr3L:5158795-5184797	-	
shep	shep	dm6_chr3L:5157908-5277944	-	
shep	shep	dm6_chr3L:5155821-5184797	-	
shep	shep	dm6_chr3L:5155821-5248448	-	
Srp54k	Srp54k	dm6_chr3L:5152678-5154777	+	
Gen	Gen	dm6_chr3L:5149849-5152376	-	
AlaRS-m	AlaRS-m	dm6_chr3L:5146098-5149852	+	
Fitm	Fitm	dm6_chr3L:5144082-5146063	-	
Fitm	Fitm	dm6_chr3L:5144082-5146063	-	
lncRNA:CR45985	lncRNA:CR45985	dm6_chr3L:5142520-5142780	-	
Gdap1	Gdap1	dm6_chr3L:5141953-5144317	+	
Gdap1	Gdap1	dm6_chr3L:5141953-5144317	+	
Gdap1	Gdap1	dm6_chr3L:5141953-5144317	+	
CG10672	CG10672	dm6_chr3L:5140440-5141646	-	
CHMP2B	CHMP2B	dm6_chr3L:5139619-5140473	+	
Prpk	Prpk	dm6_chr3L:5138652-5139395	-	
CG4611	CG4611	dm6_chr3L:5136376-5138679	+	
CG10674	CG10674	dm6_chr3L:5135748-5136292	-	
asRNA:CR45160	asRNA:CR45160	dm6_chr3L:5135542-5136224	+	
