Accession	Description	Symbol	Coverage	Num.Peptides	Num_PSMs	UniqPeptides	Aas	MW	pI	DMSO.CHR_1	DMSO.CHR_2	DMSO.CHR_3	DMSO.HYPO_1	DMSO.HYPO_2	DMSO.HYPO_3	DMSO.NUC_1	DMSO.NUC_2	DMSO.NUC_3	GSK.15.CHR_1	GSK.15.CHR_2	GSK.15.CHR_3	GSK.15.CYTO_1	GSK.15.CYTO_2	GSK.15.CYTO_3	GSK.15.NUC_1	GSK.15.NUC_2	GSK.15.NUC_3	GSK.48H.CHR_1	GSK.48H.CHR_2	GSK.48H.CHR_3	GSK.48H.CYTO_1	GSK.48H.CYTO_2	GSK.48H.CYTO_3	GSK.48H.NUC_1	GSK.48H.NUC_2	GSK.48H.NUC_3	GSK.90.CHR_1	GSK.90.CHR_2	GSK.90.CHR_3	GSK.90.CYTO_1	GSK.90.CYTO_2	GSK.90.CYTO_3	GSK.90.NUC_1	GSK.90.NUC_2	GSK.90.NUC_3	GSK.180.CHR_1	GSK.180.CHR_2	GSK.180.CHR_3	GSK.180.CYTO_1	GSK.180.CYTO_2	GSK.180.CYTO_3	GSK.180.NUC_1	GSK.180.NUC_2	GSK.180.NUC_3	MS023.15.CHR_1	MS023.15.CHR_2	MS023.15.CYTO_1	MS023.15.CYTO_2	MS023.15.CYTO_3	MS023.15.NUC_1	MS023.15.NUC_2	MS023.15.NUC_3	MS023.48H.CHR_1	MS023.48H.CHR_2	MS023.48H.CHR_3	MS023.48H.CYTO_1	MS023.48H.CYTO_2	MS023.48H.CYTO_3	MS023.48H.NUC_1	MS023.48H.NUC_2	MS023.48H.NUC_3	MS023.90.CHR_1	MS023.90.CHR_2	MS023.90.CHR_3	MS023.90.CYTO_1	MS023.90.CYTO_2	MS023.90.CYTO_3	MS023.90.NUC_1	MS023.90.NUC_2	MS023.90.NUC_3	MS023.180.CHR_1	MS023.180.CHR_2	MS023.180.CHR_3	MS023.180.CYTO_1	MS023.180.CYTO_2	MS023.180.CYTO_3	MS023.180.NUC_1	MS023.180.NUC_2	MS023.180.NUC_3
P52272	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	HNRNPM	68	69	3377	69	730	77.5	8.7	549586481.6	454871735.4	675432014.3	35056126.65	12023836.38	13844865.37	232887711.2	295128921.7	92507262	864234424.8	1197118821	613401630.5	23408924.48	25092015.91	36836276.67	377705979.2	460379455	576808635.2	842493382.3	1760746245	576037320.9	31378400.16	51172543.73	33280205.41	488869581.4	467879198.2	351804783.4	1064689294	946294396.5	553576886.3	29546234.13	51659432.45	46959848.05	386258593.4	648009381.3	530894840.2	936627958.8	1671387286	541232636.5	13181613.64	43825977.26	39962604.59	536498562	409312651.1	573946830.9	695071254.1	1023025888	11131093.98	44733037.94	40586483.36	449621018.8	437197009.8	472720138.3	887380368.5	1076955497	564047948.9	23062148.98	29121342.06	19127771.87	354552654.8	377237091	388518775	1586527652	1562393943	653862872.1	8713155.613	75483620.31	45318380.78	396906557.7	379611095.2	714776347	888895065.9	1276400795	676749224.5	26626051.93	25311492.16	54242074.56	342383560.6	450404350.9	469908344.1
Q8IVF2	Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2	AHNAK2	40	106	1769	106	5795	616.2	5.36	45453608.45	35835581.34	47637293.35	147049178.4	46049428.64	74260663.86	171464194.9	177847970.1	50297376.68	63505138.84	60898865.13	50374367.44	191435850.4	130607079.1	349886905.5	235501846.5	216314487.7	392981861.1	52256573.7	137676720.2	47506740.45	166611623.4	169884973.9	177358741.3	244243077	343691175.2	220519460.1	94984415.59	81535824.51	40322177.51	327513507.2	265926381.3	390198436.7	317776095.8	411739721.1	439643984.8	59387610.74	75191444.17	41897675.22	87159775.54	191776238.3	253074956.9	339783674.2	142642491.6	296512433.6	83529994.73	68203270.48	60759781.54	314056585.4	352335350.4	326409955.6	276151584.9	372224246.6	42043194.76	79577836.78	34505920.99	143777138.5	151869441.2	122388927.6	130937786	221626203.1	126193211.4	98648633.44	65233583.56	53447207.33	33714851.29	400581797.3	344241465	395314242.7	146484937.5	458900903.7	80346229.44	91733819.52	59920592.19	181430639.1	94619163.67	297344490.9	197317422.8	350158810.2	290590180.1
P10809	"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2"	HSPD1	75	64	3132	64	573	61	5.87	38796281.72	24739343.28	31141409.04	1281861726	489470555.2	696734653	248132880.8	153190262	52183766.41	105647008.6	74368596.27	37650250.04	1541621771	1123899268	1663576473	481102177.2	240784714.3	250965912.7	67510254.53	95835104.69	21672237.86	1041234826	1000893625	1119643615	378041212.1	264981959.6	49889495.62	166426730.4	99361571.53	23023630.86	1627646386	1448387178	1424787513	816058521.6	434179670	272536459.9	117467190.5	93224751.31	27357663.92	547621509.2	1200546665	1396813113	924868692.4	272689412.3	233511745.9	103163670.9	60172713.45	504806148.8	1594215905	1886665421	457049511.8	328175043.3	300873152.6	71333715.75	59484168.11	23073719.52	849797403.2	1152421671	741956963.4	320777296.7	293812627.1	92380543.86	170240240.3	106074698.2	39486502.02	226045900.4	1733464055	1427718358	1073650030	236363842.5	434970282.3	113323798.2	98268234.27	36389160.14	938522246.4	608724574.9	1425710825	647955107	355388760	426218876.3
P05783	"Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2"	KRT18	80	66	4007	64	430	48	5.45	626110880.8	316507002.4	391320259.7	518933108.5	180647726.2	211700417.7	727242787.3	585607668.3	184699881.2	1388611236	1617348814	501830312.2	588744451.8	345517471.9	597597624.5	994589115.8	1141612207	1163012771	1223312554	2275398919	400832751.2	444993125	503288431.4	438281837	1746081584	1239974050	549658957.2	1725209686	1343125050	388694009.7	783401872.9	603754942.7	682182797.3	1789844141	1687077943	1419728118	1506668066	2344452077	380672478.1	250110819.6	497085350.9	502833138.1	1865212945	1373993878	1141695537	1168835478	817937075.8	198347924.7	622828647.4	733230754	810302881.5	1160717605	1134884953	1055556278	1401326992	482323959.2	455952906.4	518551322	303211751	1189759716	1257821615	832229592.6	2389515091	2250368317	555238112.7	124759596	834031488.1	651601505.3	1679315252	984355053.9	1934989346	1668808897	2141176899	526755158.9	559606892.5	283788886.9	698848856.8	1567319866	1076581156	1493963217
P49327	Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	FASN	48	94	1533	94	2511	273.3	6.44	18521307.54	15998066.23	22920082.46	466997863	191028064.5	243254606.1	19991086.23	10696591.43	6836270.963	49905066.84	55281713.04	25916538.1	530620573.1	381924529.4	736863970	29044890.98	40805152.4	34867584.16	39349111.52	76027564.54	17917365.94	452019823.3	509657304	499206922.7	49252747.88	32784701.83	10596261.53	58220570.33	60147016.52	19818073.25	758844979	657905059.1	782138075.5	56519428.59	58080756.52	29732113.47	53698736.07	101577059.4	19388950.8	232148493.2	480832545.8	652536867.7	79398629.2	54159200.64	20730181.05	47873598.14	46597455.34	171669568.6	702472094.1	853038409.9	39378609.11	51233688.37	24093290.87	45450780.3	66730489.84	26808373.62	484390866.6	622480809	392228950.7	16146047.55	32556797.64	15938397.82	97818964.22	105273815.7	24498587.09	87348285.25	900977935.9	760114849.5	68276576.28	49659542.2	28637085.44	54885472.95	82135524.02	24503413.2	409933312.7	276901879.9	736442497.3	41518904.13	20636145.41	54997153.7
P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	PKM	83	62	3207	62	531	57.9	7.84	67040633.32	35811646.11	79770617.55	2570730004	1160415017	1602818984	70284669.5	44389116.38	32609768.57	70489168.16	81517403.34	82831472.13	2990719947	1957452268	4200712901	74276525.54	55341852.26	80362702.19	68613490.75	150755364.1	78056588.32	2491847585	2586047607	2915877944	91987464.36	85162972.06	48072950.51	95837130.3	89727376.07	65040960.74	4050269444	3159750488	4235130798	100241853.4	83117858.73	78791076.77	62551774.41	155368189.5	56632931.5	1317642073	2592822082	3508345902	113243490.1	69996012.43	68261220.4	71342890.95	62838430.04	1016770163	3277440509	4441795799	41614465.68	28380675.98	127748498.1	105819570.2	180264848.3	111828631.2	2491736511	3164435432	2150010802	66216339.61	67074806.31	49493500.37	148509336.3	165701334.2	89013934.15	491069130.2	4326599504	3958488411	87689417.45	63969386.23	96074736.14	98832014	161777842.1	87818507.4	2459724700	1587316160	3663327787	48470916.93	64933975.51	80832136.37
P07355	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	ANXA2	88	60	4490	60	339	38.6	7.75	224326024.7	128099508.1	72296119.23	1026010515	396881487.5	538458647.4	663458896	605433512.3	171957435.8	625256070.7	604154595.3	141188120.8	1163716767	994006043.2	1754624269	1048265394	982585977.9	1147755869	589222669.3	919018338.1	46096149.36	1069725471	1300184140	1353248196	2090782693	1833995926	527226501	672062442.2	789238341.6	101206717.1	1558924821	1835010306	2095824037	2256015339	1986312549	1398803643	960168291.7	1186398916	52845754.07	521465843	1554023363	1743355518	1787963412	943750323.8	929686160.5	605992269.8	388400011.6	335471314.6	1888314818	2043801756	1068562166	1247069896	1082567788	516834247.9	314224725.2	92567270.95	1137054715	1404717288	879863865.8	1125793731	1322995735	620937380.9	1158459992	1305286407	169371254.8	239045112.1	2827799980	2185906926	2195535924	712673223.6	1615390987	814302645.4	795366583.4	112367290.4	981596075.9	759780739.4	2145311698	1400067632	1034554721	1394372558
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	HSP90AB1	63	65	2685	40	724	83.2	5.03	69708916.62	50759784	75604470.74	1442361303	577690974.7	732906639.2	78917535.09	55048660.42	33900597.05	107936590.6	98353030.98	86915505.95	1636308853	1270053183	2131598244	98142212.62	73465876.53	94939427.9	77199641.27	156554080.7	61265007.31	1177040738	1612170326	1538009856	114139288.6	85901094.63	44097714.38	139636230.3	138434624.7	77902798.63	2046505193	2188982665	2398271142	133664763.1	100635745.5	98821508.08	86719223.47	194342393.7	70275364.07	730864445	1650831958	1793286830	152733635.2	74806594.23	80073633.45	85899929.79	79037665.85	535735465.7	2428113566	2645613197	69749950.2	65868864.19	97393855.3	87804586.51	156673833.2	87185097.46	1079524307	1575382199	924548518.8	71427834.52	75547184.03	48430079.99	163823340	196426201.4	91817868.09	279468155	2943622740	2168980799	168263024.2	67156955.64	112718326.4	123604985.1	208004584.1	88065971.3	1137672327	905902688.2	2300699523	95102596.86	84879573.02	100057199.3
O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	ACTN4	67	71	1935	53	911	104.8	5.44	62233724.21	29865408.95	57528995.78	306937703.8	137974474.4	174013988.7	119612577.8	77870285.59	26158063.91	95179233.81	91703818.66	72127532.57	365613565.7	331432819.8	584363669.9	179291309.1	131252296.8	192461458.2	101132171.6	144556724.5	51929491.61	300512305.7	446098422.2	439870589.6	323355793.6	217790985.8	81769482.75	196417860.4	156209591.7	49014317.85	505233669.7	461672673.9	663707577.4	422046320.4	356584377.8	239750964.1	158024032.8	151861356.9	50155723.9	133764046.7	371625118.9	482528720.8	366509508.9	179130285.2	147573160	98247247.16	78531139.2	139760542	560996984.9	769740085.9	172508538.4	180813250.7	172574077.7	90761873.43	123989009.9	60187049.8	294326573.6	420217634.5	292534688.3	220003772.5	184666404	102396429.1	301759020	183285881.3	72979062.4	61202524.28	665541869.8	551307909.6	481842421.8	167960674.6	294439770.7	167236386.6	173086585	67353180.09	211303278.3	217242725.8	539798829.3	255436941.7	181981866.3	229302965.5
P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	EEF2	72	67	2201	65	858	95.3	6.83	18175240.33	14660598.52	35730838.05	688944610.3	285943928.1	379223554.6	71207640.44	61517720.06	24939674.41	32041753.83	38039293.8	27209288.05	828474665.7	559802807.5	1141922755	101775477.6	104732197.5	284576717.2	28562257.57	48526634.34	19883217.99	737464947.4	736272145.5	809745177.1	157204428.2	117432926.1	54726594.48	50218807.41	55060753.05	25512724.3	1135256462	937008939.1	1166832862	181561420.6	228238912.4	138901713.3	43942540.7	81812031.4	26042774.86	426534408.8	780978067.6	922413264.9	221140351.2	116079113.3	115899020.9	40411583.13	38340549.19	273451249.4	1032246532	1230188946	110934726.6	142245574.1	128974931.9	29932702.49	56591376.17	34167624.47	665400719.9	908137021	512006453.5	90430369.59	85112837.67	54569639.32	75485710.4	81127912.09	30658600.54	163257868.4	1352839673	1119208085	257715374	91876749.32	165465089.5	49221829.07	73835570.02	31869054.73	769988698.1	396649048.3	1048303976	140606768.1	126088234.5	171937325.3
P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	MYH9	43	80	1769	69	1960	226.4	5.6	50204859.67	26571526.02	37663380.81	168761961.5	79583330.87	92913716.17	34864988.7	33563428.88	10766879.5	94233499.01	122132514.1	51704558.35	199556486.8	185597985.5	399906431.9	54051577.92	61036714.55	86233281.7	89007786.07	175858928.5	40137200.07	204559687.7	291729838.3	293778503.7	99033823.23	72475856.82	37024111.41	131875567.7	142567760.4	33356397.23	381995211.4	348459031.8	475680204	96808176.95	140292314.8	112400355.7	127505071.4	192845511.9	44606050.54	85232526.23	239397082.6	326902249.8	104753795.7	68721535.66	73777030.71	79888469.58	83674338.65	78398540.63	326252206.7	478161981.1	61553199.89	90093967.7	86624844.51	83188976.22	105686426.4	42529111.48	170502713.6	267915477.2	192480053	78998814.04	69515863.05	53412350.95	180815283.5	224531263.4	51468233.34	36703496.89	531638582.6	488870882.4	122604336	45545786.88	105414498.3	133720720.8	186017975.3	60049053.15	166299242	151173234.9	389019485.9	75759708.81	79914088.08	101857486.4
P36578	60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5	RPL4	78	62	2782	62	427	47.7	11.06	167227965.6	98768504.66	149191205.3	209936070	82696357.05	111054307.9	369046563.7	361355935.3	96905472.35	240132742.7	270914889.8	156891228.8	226729531.8	154360112.8	305527428.6	621503119.7	594736671.2	839820160.7	225206419	355051256.6	110209385	299144099.5	279555005	287189498.4	751629638.5	637815685.6	401799460.3	429617882.9	321432869.8	124116598	380045040.8	270849787.9	342568251	937838824.4	1221274107	894722238.4	327254357.6	477458682.2	125126318.1	86685092.04	188366411.5	219430837.7	1196321022	653727719.1	780785100.3	333145945.9	254928932.6	71883540.36	301427844	335175868.4	817179541.9	805990070.5	786727913.7	214697737.2	290349129.2	134743846	293149978.7	369940996.4	214852702.9	501547521.8	548817342.3	447826237	515517701.5	458832246.9	161676545.7	33607545.73	343721750.4	314502595.7	1166535492	600501705.8	1104389943	343718555.6	443704731.4	162084320.7	217932431.5	97087287.63	278137336.2	733293693.3	842159628.4	868842842.4
